cn,sv,vi
潘兼全,Phan Kiêm Toàn,Phan Kiêm Toàn
户,Hộ,Hộ
右,Hữu,Hữu
登選,Đăng Tuyển,Đăng Tuyển
仕,Sĩ,Sĩ
兼全,Kiêm Toàn,Kiêm Toàn
吏,Lại,Lại
吏,Lại,Lại
尙,Thượng,Thượng
范公著,Phạm Công Trứ,Phạm Công Trứ
公兼,Công Kiêm,Công Kiêm
參,Tham,Tham
參,Tham,Tham
公著,Công Trứ,Công Trứ
黎斅,Lê Hiệu,Lê Hiệu
承,Thừa,Thừa
申德才,Thân Đức Tài,Thân Đức Tài
參,Tham,Tham
漢,Hán,Hán
加兵,Gia Binh,Gia Binh
左,Tả,Tả
潤裔,Nhuận Duệ,Nhuận Duệ
胡士揚,Hồ Sĩ Dương,Hồ Sĩ Dương
以户,Dĩ Hộ,Dĩ Hộ
右,Hữu,Hữu
義嶺,Nghĩa Lĩnh,Nghĩa Lĩnh
同存澤,Đồng Tồn Trạch,Đồng Tồn Trạch
工,Công,Công
左,Tả,Tả
加提,Gia Đề,Gia Đề
武弼諧,Vũ Bật Hài,Vũ Bật Hài
書,Thư,Thư
刑,Hình,Hình
黎仁傑,Lê Nhân Kiệt,Lê Nhân Kiệt
朗圭,Lãng Khuê,Lãng Khuê
安廣,Yên Quảng,Yên Quảng
以陳進朝,Dĩ Trần Tiến Triều,Dĩ Trần Tiến Triều
參,Tham,Tham
兼,Kiêm,Kiêm
大,Đại,Đại
范維質,Phạm Duy Chất,Phạm Duy Chất
贈工,Tặng Công,Tặng Công
右,Hữu,Hữu
丙午,Bính Ngọ,Bính Ngọ
明永曆,Minh Vĩnh Lịch,Minh Vĩnh Lịch
清康熙,Thanh Khang Hi,Thanh Khang Hi
莫,Mạc,Mạc
敬宇,Kính Vũ,Kính Vũ
髙平,Cao Bằng,Cao Bằng
太原,Thái Nguyên,Thái Nguyên
通,Thông,Thông
何仕置,Hà Sĩ Trí,Hà Sĩ Trí
王,Vương,Vương
太,Thái,Thái
莅,Li,Li
鄭棟,Trịnh Đống,Trịnh Đống
少,Thiếu,Thiếu
豪,Hào,Hào
黎時憲,Lê Thời Hiến,Lê Thời Hiến
鴻,Hồng,Hồng
川,Xuyên,Xuyên
鄭時濟吏,Trịnh Thời Tế Lại,Trịnh Thời Tế Lại
杜善正,Đỗ Thiện Chính,Đỗ Thiện Chính
敬宇,Kính Vũ,Kính Vũ
通,Thông,Thông
何仕置,Hà Sĩ Trí,Hà Sĩ Trí
清華參,Thanh Hoa Tham,Thanh Hoa Tham
阮名實,Nguyễn Danh Thực,Nguyễn Danh Thực
鴻,Hồng,Hồng
監,Giám,Giám
黎僚,Lê Liêu,Lê Liêu
名實,Danh Thực,Danh Thực
及僚,Cập Liêu,Cập Liêu
名實,Danh Thực,Danh Thực
以汪銳,Dĩ Uông Nhuệ,Dĩ Uông Nhuệ
清華,Thanh Hoa,Thanh Hoa
參,Tham,Tham
清,Thanh,Thanh
范成功馬文壁,Phạm Thành Công Mã Văn Bích,Phạm Thành Công Mã Văn Bích
南關,Nam Quan,Nam Quan
楊二楊三,Dương Nhị Dương Tam,Dương Nhị Dương Tam
命東,Mệnh Đông,Mệnh Đông
學,Học,Học
裴廷員翰林,Bùi Đình Viên Hàn Lâm,Bùi Đình Viên Hàn Lâm
陶公正,Đào Công Chính,Đào Công Chính
甲午,Giáp Ngọ,Giáp Ngọ
庚戌,Canh Tuất,Canh Tuất
王,Vương,Vương
盐户,Diêm Hộ,Diêm Hộ
盐户,Diêm Hộ,Diêm Hộ
瑞英,Thuỵ Anh,Thuỵ Anh
五漫,Ngũ Mạn,Ngũ Mạn
以武兼,Dĩ Vũ Kiêm,Dĩ Vũ Kiêm
山西,Sơn Tây,Sơn Tây
參,Tham,Tham
阮廷正,Nguyễn Đình Chính,Nguyễn Đình Chính
京北,Kinh Bắc,Kinh Bắc
參,Tham,Tham
阮公璧,Nguyễn Công Bích,Nguyễn Công Bích
海陽,Hải Dương,Hải Dương
參,Tham,Tham
陶公正,Đào Công Chính,Đào Công Chính
奉天,Phụng Thiên,Phụng Thiên
安廣,Yên Quảng,Yên Quảng
承,Thừa,Thừa
純禮,Thuần Lễ,Thuần Lễ
阮偉,Nguyễn Vĩ,Nguyễn Vĩ
工,Công,Công
右,Hữu,Hữu
伟,Vĩ,Vĩ
京北,Kinh Bắc,Kinh Bắc
參,Tham,Tham
廣林,Quảng Lâm,Quảng Lâm
阮,Nguyễn,Nguyễn
勢濱,Thế Tân,Thế Tân
太原,Thái Nguyên,Thái Nguyên
參,Tham,Tham
丁未,Đinh Mùi,Đinh Mùi
明永曆,Minh Vĩnh Lịch,Minh Vĩnh Lịch
清康熙,Thanh Khang Hi,Thanh Khang Hi
會,Hội,Hội
阮有登,Nguyễn Hữu Đăng,Nguyễn Hữu Đăng
清,Thanh,Thanh
正,Chính,Chính
程芳朝,Trình Phương Triều,Trình Phương Triều
張易賁,Trương Dịch Bí,Trương Dịch Bí
帝,Đế,Đế
安南國,An Nam Quốc,An Nam Quốc
命東,Mệnh Đông,Mệnh Đông
學,Học,Học
裴廷員吏,Bùi Đình Viên Lại,Bùi Đình Viên Lại
杜善正,Đỗ Thiện Chính,Đỗ Thiện Chính
來王,Lai Vương,Lai Vương
爾安南,Nhĩ An Nam,Nhĩ An Nam
黎日南,Lê Nhật Nam,Lê Nhật Nam
辰北,Thần Bắc,Thần Bắc
圭璧,Khuê Bích,Khuê Bích
内,Nội,Nội
程芳朝禮,Trình Phương Triều Lễ,Trình Phương Triều Lễ
張易賁,Trương Dịch Bí,Trương Dịch Bí
安南,An Nam,An Nam
賜阮冠儒,Tứ Nguyễn Quán Nho,Tứ Nguyễn Quán Nho
乂安,Nghệ An,Nghệ An
南河,Nam Hà,Nam Hà
加兵,Gia Binh,Gia Binh
芳嶺,Phương Lĩnh,Phương Lĩnh
武惟志,Vũ Duy Chí,Vũ Duy Chí
芳,Phương,Phương
户,Hộ,Hộ
左,Tả,Tả
義舍,Nghĩa Xá,Nghĩa Xá
裴挺,Bùi Đĩnh,Bùi Đĩnh
義,Nghĩa,Nghĩa
清華乂安,Thanh Hoa Nghệ An,Thanh Hoa Nghệ An
榮良,Vinh Lương,Vinh Lương
鄭栐,Trịnh Vĩnh,Trịnh Vĩnh
副,Phó,Phó
良,Lương,Lương
遣兵,Khiến Binh,Khiến Binh
右,Hữu,Hữu
潤裔,Nhuận Duệ,Nhuận Duệ
胡士揚東,Hồ Sĩ Dương Đông,Hồ Sĩ Dương Đông
裴廷員,Bùi Đình Viên,Bùi Đình Viên
清華,Thanh Hoa,Thanh Hoa
正,Chính,Chính
阮潤,Nguyễn Nhuận,Nguyễn Nhuận
鄭時濟黎榮,Trịnh Thời Tế Lê Vinh,Trịnh Thời Tế Lê Vinh
清,Thanh,Thanh
正,Chính,Chính
阮國,Nguyễn Quốc,Nguyễn Quốc
阮公璧,Nguyễn Công Bích,Nguyễn Công Bích
清,Thanh,Thanh
以署,Dĩ Thự,Dĩ Thự
隴,Lũng,Lũng
范院,Phạm Viện,Phạm Viện
都,Đô,Đô
永頼瑞英,Vĩnh Lại Thuỵ Anh,Vĩnh Lại Thuỵ Anh
應天,Ứng Thiên,Ứng Thiên
瑞英,Thuỵ Anh,Thuỵ Anh
杜文洽,Đỗ Văn Hiệp,Đỗ Văn Hiệp
永頼會庵,Vĩnh Lại Hội Am,Vĩnh Lại Hội Am
陶世相,Đào Thế Tướng,Đào Thế Tướng
其文洽世相,Kì Văn Hiệp Thế Tướng,Kì Văn Hiệp Thế Tướng
髙平,Cao Bằng,Cao Bằng
時髙平,Thời Cao Bằng,Thời Cao Bằng
莫敬宇,Mạc Kính Vũ,Mạc Kính Vũ
王,Vương,Vương
諒山,Lạng Sơn,Lạng Sơn
節,Tiết,Tiết
太,Thái,Thái
宜,Nghi,Nghi
鄭根,Trịnh Căn,Trịnh Căn
太原,Thái Nguyên,Thái Nguyên
太,Thái,Thái
莅,Li,Li
鄭棟少,Trịnh Đống Thiếu,Trịnh Đống Thiếu
雲,Vân,Vân
鄭榩少,Trịnh Kiền Thiếu,Trịnh Kiền Thiếu
豪,Hào,Hào
黎時憲少,Lê Thời Hiến Thiếu,Lê Thời Hiến Thiếu
奠,Điện,Điện
鄭楃都,Trịnh Ốc Đô,Trịnh Ốc Đô
禄,Lộc,Lộc
丁文左立,Đinh Văn Tá Lập,Đinh Văn Tá Lập
黎珠,Lê Châu,Lê Châu
統,Thống,Thống
以禮,Dĩ Lễ,Dĩ Lễ
左,Tả,Tả
陽,Dương,Dương
阮能紹刑,Nguyễn Năng Thiệu Hình,Nguyễn Năng Thiệu Hình
左,Tả,Tả
桂海,Quế Hải,Quế Hải
黎仕澈工,Lê Sĩ Triệt Công,Lê Sĩ Triệt Công
左,Tả,Tả
延禄,Diên Lộc,Diên Lộc
楊㵆兵,Dương Hạo Binh,Dương Hạo Binh
右,Hữu,Hữu
潤裔,Nhuận Duệ,Nhuận Duệ
胡士,Hồ Sĩ,Hồ Sĩ
揚鴻,Dương Hồng,Dương Hồng
海山,Hải Sơn,Hải Sơn
阮名實監,Nguyễn Danh Thực Giám,Nguyễn Danh Thực Giám
張論道,Trương Luận Đạo,Trương Luận Đạo
〇平,Cao Bằng,Cao Bằng
敬宇,Kính Vũ,Kính Vũ
鎮安,Trấn Yên,Trấn Yên
莫,Mạc,Mạc
丙戌,Bính Tuất,Bính Tuất
頴,Dĩnh,Dĩnh
樑,Lương,Lương
左,Tả,Tả
甲申,Giáp Thân,Giáp Thân
清康熙,Thanh Khang Hi,Thanh Khang Hi
己丑,Kỷ Sửu,Kỷ Sửu
天,Thiên,Thiên
西北,Tây Bắc,Tây Bắc
王,Vương,Vương
都,Đô,Đô
禄,Lộc,Lộc
丁文左,Đinh Văn Tá,Đinh Văn Tá
七泉,Thất Tuyền,Thất Tuyền
鴻,Hồng,Hồng
阮名實,Nguyễn Danh Thực,Nguyễn Danh Thực
督,Đốc,Đốc
凣莫,Phàm Mạc,Phàm Mạc
帝,Đế,Đế
王,Vương,Vương
大,Đại,Đại
尙,Thượng,Thượng
西王,Tây Vương,Tây Vương
朕,Trẫm,Trẫm
惟,Đại,Đại
尙,Thượng,Thượng
西王,Tây Vương,Tây Vương
昔成祖,Tích Thành Tổ,Tích Thành Tổ
世祖,Thế Tổ,Thế Tổ
兹勳王,Tư Huân Vương,Tư Huân Vương
誼王,Nghị Vương,Nghị Vương
髙平,Cao Bằng,Cao Bằng
莫,Mạc,Mạc
榮禄,Vinh Lộc,Vinh Lộc
工,Công,Công
芳桂,Phương Quế,Phương Quế
黎斅,Lê Hiệu,Lê Hiệu
大,Đại,Đại
西王,Tây Vương,Tây Vương
監,Giám,Giám
都,Đô,Đô
禄,Lộc,Lộc
丁文左,Đinh Văn Tá,Đinh Văn Tá
左,Tả,Tả
都,Đô,Đô
纘,Toản,Toản
鄭𣛧提,Trịnh Sâm Đề,Trịnh Sâm Đề
燕,Yên,Yên
鄭柳,Trịnh Liễu,Trịnh Liễu
都,Đô,Đô
左,Tả,Tả
延禄,Diên Lộc,Diên Lộc
楊㵆,Dương Hạo,Dương Hạo
史,Sử,Sử
左,Tả,Tả
立,Lập,Lập
黎珠,Lê Châu,Lê Châu
都,Đô,Đô
枚世康,Mai Thế Khang,Mai Thế Khang
參,Tham,Tham
弘,Hoằng,Hoằng
提,Đề,Đề
芳岩,Phương Nham,Phương Nham
陶光廣,Đào Quang Quảng,Đào Quang Quảng
楊林,Dương Lâm,Dương Lâm
劉世賡,Lưu Thế Canh,Lưu Thế Canh
太原,Thái Nguyên,Thái Nguyên
監,Giám,Giám
枚林,Mai Lâm,Mai Lâm
張論道,Trương Luận Đạo,Trương Luận Đạo
東,Đông,Đông
僉,Thiêm,Thiêm
才兼,Tài Kiêm,Tài Kiêm
鄧仕榮,Đặng Sĩ Vinh,Đặng Sĩ Vinh
太,Thái,Thái
髙平,Cao Bằng,Cao Bằng
都,Đô,Đô
通,Thông,Thông
鄭,Trịnh,Trịnh
贈右,Tặng Hữu,Tặng Hữu
山南,Sơn Nam,Sơn Nam
參,Tham,Tham
范公兼,Phạm Công Kiêm,Phạm Công Kiêm
禮,Lễ,Lễ
左,Tả,Tả
楊,Dương,Dương
阮能紹,Nguyễn Năng Thiệu,Nguyễn Năng Thiệu
能紹,Năng Thiệu,Năng Thiệu
南河,Nam Hà,Nam Hà
參,Tham,Tham
禮,Lễ,Lễ
忠肅,Trung Túc,Trung Túc
能紹清池弘烈,Năng Thiệu Thanh Trì Hoằng Liệt,Năng Thiệu Thanh Trì Hoằng Liệt
削阮德忠,Tước Nguyễn Đức Trung,Tước Nguyễn Đức Trung
德忠桂陽桂塢,Đức Trung Quế Dương Quế Ổ,Đức Trung Quế Dương Quế Ổ
豪,Hào,Hào
阮德業,Nguyễn Đức Nghiệp,Nguyễn Đức Nghiệp
都,Đô,Đô
瑞,Thuỵ,Thuỵ
鄭,Trịnh,Trịnh
玉檉,Ngọc Sanh,Ngọc Sanh
阮德兼,Nguyễn Đức Kiêm,Nguyễn Đức Kiêm
甲辰,Giáp Thìn,Giáp Thìn
亢,Cang,Cang
許國,Hứa Quốc,Hứa Quốc
綏禄,Tuy Lộc,Tuy Lộc
阮光岳,Nguyễn Quang Nhạc,Nguyễn Quang Nhạc
翰,Hàn,Hàn
參,Tham,Tham
吏,Lại,Lại
尙,Thượng,Thượng
東,Đông,Đông
大,Đại,Đại
少,Thiếu,Thiếu
燕,Yên,Yên
范公著,Phạm Công Trứ,Phạm Công Trứ
公著,Công Trứ,Công Trứ
國,Quốc,Quốc
許户,Hứa Hộ,Hứa Hộ
󰆑堂,Khánh Đường,Khánh Đường
阮公弼,Nguyễn Công Bật,Nguyễn Công Bật
吏,Lại,Lại
己酉,Kỉ Dậu,Kỉ Dậu
清康熙,Thanh Khang Hi,Thanh Khang Hi
清,Thanh,Thanh
内,Nội,Nội
李僊跟兵,Lí Tiên Cân Binh,Lí Tiên Cân Binh
楊兆傑,Dương Triệu Kiệt,Dương Triệu Kiệt
髙平,Cao Bằng,Cao Bằng
莫,Mạc,Mạc
清,Thanh,Thanh
清,Thanh,Thanh
文祖,Văn Tổ,Văn Tổ
王,Vương,Vương
陳,Trần,Trần
時清,Thời Thanh,Thời Thanh
李楊,Lí Dương,Lí Dương
李唐胤趙光朂魏象賢,Lí Đường Dận Triệu Quang Húc Nguỵ Tượng Hiền,Lí Đường Dận Triệu Quang Húc Nguỵ Tượng Hiền
阮國,Nguyễn Quốc,Nguyễn Quốc
阮公璧黎榮,Nguyễn Công Bích Lê Vinh,Nguyễn Công Bích Lê Vinh
萬曆,Vạn Lịch,Vạn Lịch
明,Minh,Minh
國,Quốc,Quốc
清,Thanh,Thanh
太,Thái,Thái
麗海,Lệ Hải,Lệ Hải
武榮進,Vũ Vinh Tiến,Vũ Vinh Tiến
時榮進,Thời Vinh Tiến,Thời Vinh Tiến
髙平,Cao Bằng,Cao Bằng
清,Thanh,Thanh
髙平,Cao Bằng,Cao Bằng
莫,Mạc,Mạc
贈兵,Tặng Binh,Tặng Binh
右,Hữu,Hữu
武惟志,Vũ Duy Chí,Vũ Duy Chí
禮,Lễ,Lễ
尙,Thượng,Thượng
陳登選,Trần Đăng Tuyển,Trần Đăng Tuyển
兵,Binh,Binh
尙,Thượng,Thượng
黎斅,Lê Hiệu,Lê Hiệu
刑,Hình,Hình
尙,Thượng,Thượng
參,Tham,Tham
以裴挺,Dĩ Bùi Đĩnh,Dĩ Bùi Đĩnh
工,Công,Công
同存澤,Đồng Tồn Trạch,Đồng Tồn Trạch
都,Đô,Đô
阮宗澧,Nguyễn Tông Lễ,Nguyễn Tông Lễ
户,Hộ,Hộ
左,Tả,Tả
潘兼全,Phan Kiêm Toàn,Phan Kiêm Toàn
刑,Hình,Hình
左,Tả,Tả
鄧公,Đặng Công,Đặng Công
吏,Lại,Lại
右,Hữu,Hữu
阮荗材,Nguyễn Mậu Tài,Nguyễn Mậu Tài
户,Hộ,Hộ
右,Hữu,Hữu
阮名實,Nguyễn Danh Thực,Nguyễn Danh Thực
副,Phó,Phó
吳珪,Ngô Khuê,Ngô Khuê
僉,Thiêm,Thiêm
阮國,Nguyễn Quốc,Nguyễn Quốc
禮,Lễ,Lễ
左,Tả,Tả
玉池,Ngọc Trì,Ngọc Trì
阮公璧,Nguyễn Công Bích,Nguyễn Công Bích
刑,Hình,Hình
右,Hữu,Hữu
嘉昌,Gia Xương,Gia Xương
阮潤鄭時濟,Nguyễn Nhuận Trịnh Thời Tế,Nguyễn Nhuận Trịnh Thời Tế
清,Thanh,Thanh
阮潤,Nguyễn Nhuận,Nguyễn Nhuận
工,Công,Công
尙,Thượng,Thượng
鄭時濟工,Trịnh Thời Tế Công,Trịnh Thời Tế Công
左,Tả,Tả
以黎珠,Dĩ Lê Châu,Dĩ Lê Châu
都,Đô,Đô
馮恩義,Phùng Ân Nghĩa,Phùng Ân Nghĩa
參,Tham,Tham
文祖誼王太,Văn Tổ Nghị Vương Thái,Văn Tổ Nghị Vương Thái
都,Đô,Đô
萊,Lai,Lai
鄭栢,Trịnh Bách,Trịnh Bách
贈左,Tặng Tả,Tặng Tả
胡士揚,Hồ Sĩ Dương,Hồ Sĩ Dương
吏,Lại,Lại
右,Hữu,Hữu
爵,Tước,Tước
黎庭堅,Lê Đình Kiên,Lê Đình Kiên
提,Đề,Đề
時庭堅,Thời Đình Kiên,Thời Đình Kiên
山南,Sơn Nam,Sơn Nam
庭堅安定沛寨,Đình Kiên An Định Phái Trại,Đình Kiên An Định Phái Trại
初宣光安北,Sơ Tuyên Quang Yên Bắc,Sơ Tuyên Quang Yên Bắc
嘉,Gia,Gia
武文密,Vũ Văn Mật,Vũ Văn Mật
宣光,Tuyên Quang,Tuyên Quang
太,Thái,Thái
仁,Nhân,Nhân
武公紀,Vũ Công Kỷ,Vũ Công Kỷ
太,Thái,Thái
和,Hoà,Hoà
武德恭,Vũ Đức Cung,Vũ Đức Cung
少,Thiếu,Thiếu
宗,Tông,Tông
武公㥁,Vũ Công Đức,Vũ Công Đức
王,Vương,Vương
莫,Mạc,Mạc
公㥁,Công Đức,Công Đức
麻福長,Ma Phúc Trường,Ma Phúc Trường
東蘭,Đông Lan,Đông Lan
上,Thượng,Thượng
公㥁,Công Đức,Công Đức
武公俊,Vũ Công Tuấn,Vũ Công Tuấn
都,Đô,Đô
寬,Khoan,Khoan
麻福長,Ma Phúc Trường,Ma Phúc Trường
其,Kì,Kì
禮,Lễ,Lễ
刑,Hình,Hình
王,Vương,Vương
王,Vương,Vương
鄭椽,Trịnh Duyên,Trịnh Duyên
副,Phó,Phó
謙,Khiêm,Khiêm
賜參,Tứ Tham,Tứ Tham
黎得全,Lê Đắc Toàn,Lê Đắc Toàn
參,Tham,Tham
洮,Thao,Thao
范𣆭,Phạm Thạnh,Phạm Thạnh
提,Đề,Đề
署,Thự,Thự
匡武,Khuông Vũ,Khuông Vũ
范錄,Phạm Lục,Phạm Lục
參,Tham,Tham
得全,Đắc Toàn,Đắc Toàn
乂安,Nghệ An,Nghệ An
張福裡,Trương Phúc Lí,Trương Phúc Lí
𣆭錄,Thạnh Lục,Thạnh Lục
以阮名實,Dĩ Nguyễn Danh Thực,Dĩ Nguyễn Danh Thực
兵,Binh,Binh
右,Hữu,Hữu
胡士揚,Hồ Sĩ Dương,Hồ Sĩ Dương
裴廷員杜善政,Bùi Đình Viên Đỗ Thiện Chính,Bùi Đình Viên Đỗ Thiện Chính
御,Ngự,Ngự
御,Ngự,Ngự
御,Ngự,Ngự
庚戌,Canh Tuất,Canh Tuất
清康熙,Thanh Khang Hi,Thanh Khang Hi
南,Nam,Nam
南斗,Nam Đẩu,Nam Đẩu
太微,Thái Vi,Thái Vi
命山南參,Mệnh Sơn Nam Tham,Mệnh Sơn Nam Tham
碧江,Bích Giang,Bích Giang
黎得全刑,Lê Đắc Toàn Hình,Lê Đắc Toàn Hình
陳春榜,Trần Xuân Bảng,Trần Xuân Bảng
順廣阮,Thuận Quảng Nguyễn,Thuận Quảng Nguyễn
得全,Đắc Toàn,Đắc Toàn
布政日麗,Bố Chính Nhật Lệ,Bố Chính Nhật Lệ
阮,Nguyễn,Nguyễn
得全,Đắc Toàn,Đắc Toàn
山南,Sơn Nam,Sơn Nam
憲,Hiến,Hiến
黎𦤶平,Lê Trí Bình,Lê Trí Bình
海陽,Hải Dương,Hải Dương
命禮,Mệnh Lễ,Mệnh Lễ
左,Tả,Tả
阮國,Nguyễn Quốc,Nguyễn Quốc
吏,Lại,Lại
右,Hữu,Hữu
鄧公,Đặng Công,Đặng Công
提,Đề,Đề
普,Phổ,Phổ
鄭,Trịnh,Trịnh
都,Đô,Đô
禎祥,Trinh Tường,Trinh Tường
黎時,Lê Thời,Lê Thời
參,Tham,Tham
陶光饒,Đào Quang Nhiêu,Đào Quang Nhiêu
鄭,Trịnh,Trịnh
黎時憲,Lê Thời Hiến,Lê Thời Hiến
貶山西參,Biếm Sơn Tây Tham,Biếm Sơn Tây Tham
武兼,Vũ Kiêm,Vũ Kiêm
户,Hộ,Hộ
命少,Mệnh Thiếu,Mệnh Thiếu
豪,Hào,Hào
黎時憲,Lê Thời Hiến,Lê Thời Hiến
統,Thống,Thống
吏,Lại,Lại
右,Hữu,Hữu
潤裔,Nhuận Duệ,Nhuận Duệ
胡士揚,Hồ Sĩ Dương,Hồ Sĩ Dương
督,Đốc,Đốc
宣光,Tuyên Quang,Tuyên Quang
時宣光麻福長,Thời Tuyên Quang Ma Phúc Trường,Thời Tuyên Quang Ma Phúc Trường
惠挺麻福蘭,Huệ Đĩnh Ma Phúc Lan,Huệ Đĩnh Ma Phúc Lan
趁勝麻福淀,Sấn Thắng Ma Phúc Điện,Sấn Thắng Ma Phúc Điện
上,Thượng,Thượng
時憲,Thời Hiến,Thời Hiến
參,Tham,Tham
詠,Vịnh,Vịnh
阮德霑,Nguyễn Đức Triêm,Nguyễn Đức Triêm
福蘭,Phúc Lan,Phúc Lan
福淀,Phúc Điện,Phúc Điện
時憲,Thời Hiến,Thời Hiến
陳興學,Trần Hưng Học,Trần Hưng Học
參,Tham,Tham
朝潤,Triều Nhuận,Triều Nhuận
陳興讓,Trần Hưng Nhượng,Trần Hưng Nhượng
署,Thự,Thự
朝憲,Triều Hiến,Triều Hiến
贈工,Tặng Công,Tặng Công
尙,Thượng,Thượng
派,Phái,Phái
阮道安,Nguyễn Đạo An,Nguyễn Đạo An
少,Thiếu,Thiếu
王,Vương,Vương
道安慈廉福演,Đạo An Từ Liêm Phúc Diễn,Đạo An Từ Liêm Phúc Diễn
鄕,Hương,Hương
鄕,Hương,Hương
會,Hội,Hội
陳世榮,Trần Thế Vinh,Trần Thế Vinh
署,Thự,Thự
舒泰,Thư Thái,Thư Thái
阮仕健,Nguyễn Sĩ Kiện,Nguyễn Sĩ Kiện
參,Tham,Tham
工,Công,Công
黎公朝,Lê Công Triều,Lê Công Triều
禮,Lễ,Lễ
都,Đô,Đô
辛亥,Tân Hợi,Tân Hợi
清康熙,Thanh Khang Hi,Thanh Khang Hi
劉名公,Lưu Danh Công,Lưu Danh Công
韶仕琳,Thiều Sĩ Lâm,Thiều Sĩ Lâm
黎有名武廷臨,Lê Hữu Danh Vũ Đình Lâm,Lê Hữu Danh Vũ Đình Lâm
黎䧺稱,Lê Hùng Xứng,Lê Hùng Xứng
時,Thờị,Thờị
兵,Binh,Binh
尙,Thượng,Thượng
頴,Dĩnh,Dĩnh
阮悌,Nguyễn Đễ,Nguyễn Đễ
少,Thiếu,Thiếu
吏,Lại,Lại
己酉,Kỷ Dậu,Kỷ Dậu
平西,Bình Tây,Bình Tây
開化,Khai Hoá,Khai Hoá
曹,Tào,Tào
劉解,Lưu Giải,Lưu Giải
麻福淀,Ma Phúc Điện,Ma Phúc Điện
麻福長,Ma Phúc Trường,Ma Phúc Trường
兵,Binh,Binh
左,Tả,Tả
黎仕澈吏,Lê Sĩ Triệt Lại,Lê Sĩ Triệt Lại
右,Hữu,Hữu
鄧公,Đặng Công,Đặng Công
時同存澤,Thời Đồng Tồn Trạch,Thời Đồng Tồn Trạch
都,Đô,Đô
帝,Đế,Đế
豁達睿聰剛毅中正温柔和樂欽明文思允恭克讓穆皇帝,Khoát Đạt Duệ Thông Cương Nghị Trung Chính Ôn Nhu Hoà Lạc Khâm Minh Văn Tư Doãn Cung Khắc Nhượng Mục Hoàng Đế,Khoát Đạt Duệ Thông Cương Nghị Trung Chính Ôn Nhu Hoà Lạc Khâm Minh Văn Tư Doãn Cung Khắc Nhượng Mục Hoàng Đế
玄宗,Huyền Tông,Huyền Tông
玄宗穆皇帝,Huyền Tông Mục Hoàng Đế,Huyền Tông Mục Hoàng Đế
盛陵,Thịnh Lăng,Thịnh Lăng
乾龍,Càn Long,Càn Long
皇,Hoàng,Hoàng
初神宗,Sơ Thần Tông,Sơ Thần Tông
皇,Hoàng,Hoàng
惟檜,Duy Cối,Duy Cối
王,Vương,Vương
正,Chính,Chính
鄭,Trịnh,Trịnh
玉瓏,Ngọc Lung,Ngọc Lung
玄宗,Huyền Tông,Huyền Tông
王,Vương,Vương
節,Tiết,Tiết
我,Ngã,Ngã
聖祖神宗,Thánh Tổ Thần Tông,Thánh Tổ Thần Tông
莫,Mạc,Mạc
莫,Mạc,Mạc
當神宗淵皇帝,Đương Thần Tông Uyên Hoàng Đế,Đương Thần Tông Uyên Hoàng Đế
迨神宗淵皇帝,Đãi Thần Tông Uyên Hoàng Đế,Đãi Thần Tông Uyên Hoàng Đế
大行皇帝,Đại Hành Hoàng Đế,Đại Hành Hoàng Đế
聖,Thánh,Thánh
王,Vương,Vương
大行皇帝,Đại Hành Hoàng Đế,Đại Hành Hoàng Đế
今皇,Kim Hoàng,Kim Hoàng
黎維襘,Lê Duy Cối,Lê Duy Cối
神宗淵皇帝,Thần Tông Uyên Hoàng Đế,Thần Tông Uyên Hoàng Đế
皇,Hoàng,Hoàng
丙寅王,Bính Dần Vương,Bính Dần Vương
節,Tiết,Tiết
皇弟維襘,Hoàng Đệ Duy Cối,Hoàng Đệ Duy Cối
皇,Hoàng,Hoàng
陽德,Dương Đức,Dương Đức
尊王,Tôn Vương,Tôn Vương
鄭氏玉瓏,Trịnh Thị Ngọc Lung,Trịnh Thị Ngọc Lung
國,Quốc,Quốc
嘉宗羙皇帝諱維襘神宗,Gia Tông Mĩ Hoàng Đế Huý Duy Cối Thần Tông,Gia Tông Mĩ Hoàng Đế Huý Duy Cối Thần Tông
初神宗,Sơ Thần Tông,Sơ Thần Tông
帝,Đế,Đế
王,Vương,Vương
正,Chính,Chính
鄭氏玉瓏,Trịnh Thị Ngọc Lung,Trịnh Thị Ngọc Lung
玄宗,Huyền Tông,Huyền Tông
在,Tại,Tại
福安,Phúc An,Phúc An
惜,Tích,Tích
壬子陽德,Nhâm Tí Dương Đức,Nhâm Tí Dương Đức
清康熙,Thanh Khang Hi,Thanh Khang Hi
黎來,Lê Lai,Lê Lai
楊㵆,Dương Hạo,Dương Hạo
御,Ngự,Ngự
阮宗澧,Nguyễn Tông Lễ,Nguyễn Tông Lễ
吏,Lại,Lại
左,Tả,Tả
阮荗材,Nguyễn Mậu Tài,Nguyễn Mậu Tài
副,Phó,Phó
棃得全,Lê Đắc Toàn,Lê Đắc Toàn
僉,Thiêm,Thiêm
王,Vương,Vương
廣南阮福頻,Quảng Nam Nguyễn Phúc Tần,Quảng Nam Nguyễn Phúc Tần
命副,Mệnh Phó,Mệnh Phó
太,Thái,Thái
莅,Li,Li
鄭棟,Trịnh Đống,Trịnh Đống
統,Thống,Thống
乂安,Nghệ An,Nghệ An
少,Thiếu,Thiếu
當,Đương,Đương
陶光饒,Đào Quang Nhiêu,Đào Quang Nhiêu
