cn,sv,entity_position,entities,entity_type
閏四月命太傅清郡公鄭𭫨太保萬郡公鄭椿等督領象馬士卒往伐僞豪郡徒黨于安勇地,Nhuận tứ nguyệt mệnh Thái phó Thanh quận công Trịnh Tráng Thái bảo Vạn quận công Trịnh Xuân đẳng đốc lĩnh tượng mã sĩ tốt vãng phạt nguỵ Hào quận đồ đảng vu Yên Dũng địa,"(4: 5), (6: 7), (9: 12), (13: 14), (16: 18), (28: 29), (33: 35)","Thái, Thanh, Trịnh Tráng Thái, Vạn, Trịnh Xuân, Hào, Yên Dũng",
九月時有白氣形如鉞直立每夜五更常見在東南方經是月下旬至十月上旬始滅,Cửu nguyệt thời hữu bạch khí hình như việt trực lập mỗi dạ ngũ canh thường hiện tại Đông Nam phương kinh thị nguyệt hạ tuần chí thập nguyệt thượng tuần thuỷ diệt,(18: 20),Đông Nam,
冬十月四日吏部左侍郎富春侯吳致和户部左侍郎衍嘉侯黎弼四與范珍等啓言于平安王曰窃見本年九月下旬有異星寅刻見于南方長一丈餘又有雷動非時,Đông thập nguyệt tứ nhật Lại bộ Tả thị lang Phú Xuân hầu Ngô Trí Hoà Hộ bộ Tả thị lang Diễn Gia hầu Lê Bật Tứ dữ Phạm Trân đẳng khải ngôn vu Bình An Vương viết Thiết kiến bản niên cửu nguyệt hạ tuần hữu dị tinh Dần khắc hiện vu Nam phương trường nhất trượng dư hựu hữu lôi động phi thời,"(5: 6), (7: 8), (10: 12), (13: 17), (18: 19), (21: 23), (24: 27), (28: 30), (34: 37), (38: 39), (49: 50), (53: 54)","Lại, Tả, Phú Xuân, Ngô Trí Hoà Hộ, Tả, Diễn Gia, Lê Bật Tứ, Phạm Trân, Bình An Vương, Thiết, Dần, Nam",
時帝以國家庶事委平安王總裁故洞達謹啓欲以上聞輔行仁政,Thời Đế dĩ quốc gia thứ sự uỷ Bình An Vương tổng tài cố đỗng đạt cẩn khải dục dĩ thượng văn phụ hành nhân chính,"(0: 2), (8: 11)","Thời Đế, Bình An Vương",
吏部右侍郎仁嶺侯劉廷質啓言于平安王曰窃聞天降灾祚在德𭁈否,Lại bộ Hữu thị lang Nhân Lĩnh hầu Lưu Đình Chất khải ngôn vu Bình An Vương viết Thiết văn thiên giáng tai tộ tại đức dữ phủ,"(2: 3), (5: 7), (8: 11), (14: 17), (18: 19)","Hữu, Nhân Lĩnh, Lưu Đình Chất, Bình An Vương, Thiết",
漢文帝克承天心而變異消弭宋景公一發善言而灾星退舍,Hán Văn Đế khắc thừa thiên tâm nhi biến dị tiêu nhị Tống Cảnh Công nhất phát thiện ngôn nhi tai tinh thoái xả,"(0: 3), (12: 15)","Hán Văn Đế, Tống Cảnh Công",
𡸈至和如史皇之時而天爲雨粟者乎天雨黄沙却是恠也而術士好言祥瑞指爲雨金,Khởi chí hoà như sử Hoàng chi thời nhi thiên vi vũ túc giả hồ Thiên vũ hoàng sa khước thị quái dã nhi thuật sĩ hiếu ngôn tường thuỵ chỉ vi vũ kim,"(5: 6), (15: 16)","Hoàng, Thiên",
𡸈亨通如夏禹之世而天爲雨金者乎意者既示之警或未省悟九月下旬越本月旬異星見于東南方見者,Khởi hanh thông như Hạ Vũ chi thế nhi thiên vi vũ kim giả hồ Ý giả ký thị chi cảnh hoặc vị tỉnh ngộ cửu nguyệt hạ tuần việt bản nguyệt tuần dị tinh hiện vu Đông Nam phương kiến giả,"(4: 6), (15: 16), (37: 39)","Hạ Vũ, Ý, Đông Nam",
得非德之未脩政猶闕失而𦤶然歟今政事所行不逮往年命令之布該將不體上人寬恤之意務行苛虐竭民財産愁苦之聲足以感動上天而天警以恠異人主覩是宜以自省也,Đắc phi đức chi vị tu chính do khuyết thất nhi trí nhiên dư Kim chính sự sở hành bất đãi vãng niên mệnh lệnh chi bố cai tương bất thể thượng nhân khoan tuất chi ý vụ hành hà ngược kiệt dân tài sản sầu khổ chi thanh túc dĩ cảm động thượng Thiên nhi Thiên cảnh dĩ quái dị nhân chủ đổ thị nghi dĩ tự tỉnh dã,"(14: 15), (54: 55), (56: 57)","Kim, Thiên, Thiên",
京畿庯坊之民所當恤也則號令諸將禁戢攘奪以强天下之原本清華四政之民所當恤也則申勑諸將勿爲煩擾以壮國,Kinh kì phố phường chi dân sở đáng tuất dã tắc hiệu lệnh chư tướng cấm tập nhương đoạt dĩ cường thiên hạ chi nguyên bản Thanh Hoa tứ chiếng chi dân sở đáng tuất dã tắc thân sắc chư tướng vật vi phiền nhiễu dĩ tráng quốc,(26: 28),Thanh Hoa,
人心悅於下天道應於上將見灾星轉爲景星之祥沴雨轉爲甘雨之瑞諸福之物無不畢至而王道大成矣,Nhân tâm duyệt ư hạ thiên đạo ứng ư thượng tương kiến tai tinh chuyển vi cảnh tinh chi tường lệ vũ chuyển vi cam vũ chi thuỵ chư phúc chi vật vô bất tất chí nhi Vương đạo đại thành hĩ,(37: 38),Vương,
朝臣上奏其略曰天人相與之際甚可畏也,Triều thần thượng tấu kì lược viết Thiên nhân tương dữ chi tế thậm khả uý dã,(7: 8),Thiên,
兹本年九月下旬越本月上旬每夜五鼓沴星現東南方形如白雲形如白練形如尖梭形如芒刃頭尾尖細視之駭慄,Tư bản niên cửu nguyệt hạ tuần việt bản nguyệt thượng tuần mỗi dạ ngũ cổ lệ tinh hiện Đông Nam phương hình như bạch vân hình như bạch luyện hình như tiêm toa hình như mang nhận đầu vĩ tiêm tế thị chi hãi lật,(19: 21),Đông Nam,
變不虚生意者内有失德外有失政紀綱彫弛法令未張官吏苛刻民星摇動人事多失和而致然歟謹察周書王省惟歲卿士惟月庶民惟星盖言人事有得失休咎之徵各以類應,Biến bất hư sinh ý giả nội hữu thất đức ngoại hữu thất chính kỷ cương điêu thỉ pháp lệnh vị trương quan lại hà khắc dân tinh dao động nhân sự đa thất hoà nhi trí nhiên dư Cẩn sát Chu thư Vương tỉnh duy Tuế khanh sĩ duy nguyệt thứ dân duy tinh cái ngôn nhân sự hữu đắc thất hưu cữu chi trưng các dĩ loại ứng,"(39: 40), (41: 42), (43: 44), (46: 47)","Cẩn, Chu, Vương, Tuế",
昔宋景公一發善言而灾星爲之退舍宋太宗一開齋禳而彗星自然隨滅,Tích Tống Cảnh Công nhất phát thiện ngôn nhi tai tinh vị chi thoái xả Tống Thái Tông nhất khai trai nhương nhi Tuệ tinh tự nhiên tuỳ diệt,"(0: 4), (15: 18), (23: 24)","Tích Tống Cảnh Công, Tống Thái Tông, Tuệ",
臣,Thần,(0: 1),Thần,
等伏乞髙明大德因灾而惧側身脩行設祈天𡊨齋戒密禱庶幾誠心感格玄象隨應沴星退舍和氣致祥隂陽調而風雨時群生和而萬物殖海宇措衽席之康國家置泰磐之壮基緒之傳今其自是有永于以衍宗社億萬年無窮之福,đẳng phục khất cao minh đại đức nhân tai nhi cụ trắc thân tu hành thiết kì thiên đàn trai giới mật đảo thứ cơ thành tâm cảm cách huyền tượng tuỳ ứng lệ tinh thoái xả hoà khí trí tường âm dương điều nhi phong vũ thời quần sinh hoà nhi vạn vật thực hải vũ thố nhẫm tịch chi khang quốc gia trí Thái bàn chi tráng cơ tự chi truyền kim kì tự thị hữu vĩnh vu dĩ diễn tông xã ức vạn niên vô cùng chi phúc,(65: 66),Thái,
十一月夜五更彗星見東方月餘始滅朝臣啓于平安王曰本年九月下旬有異星見于東南方本月十一日夜再有異星出見其灾異屡見如此,Thập nhất nguyệt dạ ngũ canh Tuệ tinh hiện Đông phương nguyệt dư thuỷ diệt triều thần khải vu Bình An Vương viết Bản niên cửu nguyệt hạ tuần hữu dị tinh hiện vu Đông Nam phương bản nguyệt thập nhất nhật dạ tái hữu dị tinh xuất hiện kì tai dị lũ kiến như thử,"(6: 7), (9: 10), (19: 22), (23: 24), (34: 36)","Tuệ, Đông, Bình An Vương, Bản, Đông Nam",
意者上德有所未脩政事有所舛紊人謀或有異圖而致然歟如人君再拱扵上所親者正人所行者正道間有細人出入内殿導引爲非如官方已有吏部反特許聀名非例賦税已有户部反差人到民爭收詞訟已有該勘衙門間有咱人誣告捉人取財軍項已有府司衛所間有差人勾取軍色重役乞具本革前弊照行,ý giả thượng đức hữu sở vị tu chính sự hữu sở suyễn vặn nhân mưu hoặc hữu dị đồ nhi trí nhiên dư Như nhân quân tái củng ư thượng sở thân giả chính nhân sở hành giả chính đạo gian hữu tế nhân xuất nhập nội điện đạo dẫn vi phi như quan phương dĩ hữu Lại bộ phản đặc hứa chức danh phi lệ phú thuế dĩ hữu Hộ bộ phản sai nhân đáo dân tranh thu từ tụng dĩ hữu cai khám nha môn gian hữu thính nhân vu cáo tróc nhân thủ tài quân hạng dĩ hữu phủ ti vệ sở gian hữu sai nhân câu thủ quân sắc trọng dịch khất cụ bản cách tiền tệ chiếu hành,"(24: 25), (58: 59), (71: 72)","Như, Lại, Hộ",
宜宣召大臣𭁈諸王子諭以王業󰠡难改革弊政務悅民心庶幾人心悅天意得灾星轉爲景星世治陶爲至治太平做十分祚胤傳億載國家基緒今其自是有永矣,Nghi tuyên triệu đại thần dữ chư vương tử dụ dĩ Vương nghiệp gian nan cải cách tệ chính vụ duyệt dân tâm thứ cơ nhân tâm duyệt thiên ý đắc tai tinh chuyển vi cảnh tinh thế trị đào vi chí trị thái bình tố thập phần tộ dận truyền ức tải quốc gia cơ tự kim kì tự thị hữu vĩnh hĩ,(11: 12),Vương,
己未二十年六月以後神宗永明萬曆四十七年,Kỉ Mùi nhị thập niên lục nguyệt dĩ hậu Thần Tông Vĩnh Minh Vạn Lịch tứ thập thất niên,"(0: 2), (9: 15)","Kỉ Mùi, Thần Tông Vĩnh Minh Vạn Lịch",
祚元年春正月十六,Tộ nguyên niên Xuân chính nguyệt thập lục,(3: 4),Xuân,
日未時大火起自王府門後延燒两邉庯坊透入朝堂端門楼及左右直廬皆空尽,nhật Mùi thì đại hoả khởi tự Vương phủ môn hậu diên thiêu lưỡng biên phố phường thấu nhập triều đường Đoan Môn lâu cập tả hữu trực lư giai không tận,"(1: 2), (7: 8), (21: 23)","Mùi, Vương, Đoan Môn",
二月會試天下士人,Nhị nguyệt Hội thí thiên hạ sĩ nhân,(2: 3),Hội,
取合格陳有禮等七名,Thủ hợp cách Trần Hữu Lễ đẳng thất danh,(3: 6),Trần Hữu Lễ,
及殿試賜阮瀨進士出身裴球等六名同進士出身,Cập Điện thí tứ Nguyễn Lại Tiến sĩ xuất thân Bùi Cầu đẳng lục danh đồng Tiến sĩ xuất thân,"(0: 2), (4: 7), (10: 12), (16: 17)","Cập Điện, Nguyễn Lại Tiến, Bùi Cầu, Tiến",
三月平安王往東津楼觀舟,Tam nguyệt Bình An Vương vãng đông tân lâu quan chu,(2: 5),Bình An Vương,
回到三岐路忽有伏銃𭛁射王象,Hồi đáo tam kì lộ hốt hữu phục súng phát xạ Vương tượng,(11: 12),Vương,
捉得其人監拷知帝與王子鄭椿隂謀殺王,Tróc đắc kì nhân giam khảo tri Đế dữ Vương tử Trịnh Xuân âm mưu sát Vương,"(7: 8), (9: 10), (11: 13), (16: 17)","Đế, Vương, Trịnh Xuân, Vương",
夏四月王使太傅清郡公鄭𭫨與内監岳郡公裴仕林入内殿鞫問遂尽得其状,Hạ tứ nguyệt Vương sử Thái phó Thanh quận công Trịnh Tráng dữ Nội giám Nhạc quận công Bùi Sĩ Lâm nhập nội điện cúc vấn toại tận đắc kì trạng,"(3: 4), (5: 6), (7: 8), (10: 12), (13: 14), (15: 16), (18: 21)","Vương, Thái, Thanh, Trịnh Tráng, Nội, Nhạc, Bùi Sĩ Lâm",
五月十二日遂逼絞帝崩,Ngũ nguyệt thập nhị nhật toại bức giảo Đế băng,(8: 9),Đế,
後追尊爲惠皇,Hậu truy tôn vi Huệ Hoàng,(4: 6),Huệ Hoàng,
帝廟號敬宗,Đế miếu hiệu Kính Tông,(3: 5),Kính Tông,
六月皇子即位于勤政殿改元爲永祚元年,Lục nguyệt Hoàng tử tức vị vu Cần Chính điện cải nguyên vi Vĩnh Tộ nguyên niên,"(2: 3), (7: 9), (13: 15)","Hoàng, Cần Chính, Vĩnh Tộ",
初萬郡公鄭椿隂謀射殺王父至是黎弼四劾之仍監于内府,Sơ Vạn quận công Trịnh Xuân âm mưu xạ sát Vương phụ chí thị Lê Bật Tứ hặc chi nhưng giam vu nội phủ,"(0: 2), (4: 6), (10: 11), (14: 17)","Sơ Vạn, Trịnh Xuân, Vương, Lê Bật Tứ",
神宗淵皇帝上諱維祺敬宗長子也在位二十五年遂位六年復位十三年壽五十六歳而崩塟群玉陵帝隆準龍顔聰明博覧深畧緯文可然宫闈無制敎感浮屠此其所短?,Thần Tông Uyên Hoàng Đế thượng huý Duy Kì Kính Tông trưởng tử dã tại vị nhị thập ngũ niên toại vị lục niên phục vị thập tam niên thọ ngũ thập lục tuế nhi băng táng Quần Ngọc lăng Đế long chuẩn long nhan thông minh bác lãm thâm lược vĩ văn khả Nhiên cung vi vô chế giáo cảm phù đồ thử kì sở đoản dã,"(0: 5), (7: 11), (37: 39), (40: 41), (54: 55)","Thần Tông Uyên Hoàng Đế, Duy Kì Kính Tông, Quần Ngọc, Đế, Nhiên",
其母端慈皇太后鄭氏玉楨乃尚父平安王之次女也以弘定八年丁未十一月十九日,Kì mẫu Đoan Từ Hoàng thái hậu Trịnh Thị Ngọc Trinh nãi thượng phụ Bình An Vương chi thứ nữ dã dĩ Hoằng Định bát niên Đinh Mùi thập nhất nguyệt thập cửu nhật,"(2: 5), (7: 11), (14: 17), (22: 24), (26: 28)","Đoan Từ Hoàng, Trịnh Thị Ngọc Trinh, Bình An Vương, Hoằng Định, Đinh Mùi",
及敬宗崩平安王尊立爲帝以誕日爲壽陽聖節,Cập Kính Tông băng Bình An Vương tôn lập vi đế dĩ đản nhật vi Thọ Dương thánh tiết,"(0: 3), (4: 7), (15: 17)","Cập Kính Tông, Bình An Vương, Thọ Dương",
庚申永祚二年明萬曆十八年,Canh Thân Vĩnh Tộ nhị niên Minh Vạn Lịch thập bát niên,"(0: 4), (6: 9)","Canh Thân Vĩnh Tộ, Minh Vạn Lịch",
四明神宗崩太子光宗即位纔六月而崩,tứ Minh Thần Tông băng Thái tử Quang Tông tức vị tài lục nguyệt nhi băng,"(1: 4), (5: 6), (7: 9)","Minh Thần Tông, Thái, Quang Tông",
熹宗遂即位改元天啓,Hi Tông toại tức vị cải nguyên Thiên Khải,"(0: 2), (7: 9)","Hi Tông, Thiên Khải",
遣正使阮世標阮珙副使裴文彪吳仁澈阮奎阮俊等二部如明歳貢,Khiển chánh sứ Nguyễn Thế Tiêu Nguyễn Cung phó sứ Bùi Văn Bưu Ngô Nhân Triệt Nguyễn Khuê Nguyễn Tuấn đẳng nhị bộ như Minh tuế cống,"(3: 8), (10: 20), (24: 25)","Nguyễn Thế Tiêu Nguyễn Cung, Bùi Văn Bưu Ngô Nhân Triệt Nguyễn Khuê Nguyễn Tuấn, Minh",
辛酉三年明熹宗啓元年,Tân Dậu tam niên Minh Hi Tông Khải nguyên niên,"(0: 2), (4: 8)","Tân Dậu, Minh Hi Tông Khải",
天秋八月東方有白虹長半天,Thiên Thu bát nguyệt Đông phương hữu bạch vồng trường bán thiên,"(0: 2), (4: 5)","Thiên Thu, Đông",
壬戌四年明天二年,Nhâm Tuất tứ niên Minh Thiên nhị niên,"(0: 2), (4: 6)","Nhâm Tuất, Minh Thiên",
啓秋八月天大雨内城頺壞六七處凣三十餘丈,Khải Thu bát nguyệt thiên đại vũ nội thành đồi hoại lục thất xứ phàm tam thập dư trượng,(0: 2),Khải Thu,
癸亥五年明天三年,Quý Hợi ngũ niên Minh Thiên tam niên,"(0: 2), (4: 6)","Quý Hợi, Minh Thiên",
啓春會試天下士人,Khải Xuân Hội thí thiên hạ sĩ nhân,(0: 3),Khải Xuân Hội,
取合格范不建等七名,Thủ hợp cách Phạm Bất Kiến đẳng thất danh,(3: 6),Phạm Bất Kiến,
夏四月殿試貢士,Hạ tứ nguyệt Điện thí cống sĩ,(3: 4),Điện,
時弘化月圓人阮秩潜借人代行文事覺,Thời Hoằng Hoá Nguyệt Viên nhân Nguyễn Trật tiềm tá nhân đại hành văn sự giác,"(0: 5), (6: 8)","Thời Hoằng Hoá Nguyệt Viên, Nguyễn Trật",
上不悅故是科不賜黄榜,Thượng bất duyệt Cố thị khoa bất tứ hoàng bảng,(3: 4),Cố,
五月報天寺門石井無故填壞,Ngũ nguyệt Báo Thiên tự môn thạch tỉnh vô cố điền hoại,(2: 4),Báo Thiên,
六月平安王感冐乃與文武百官謀擇世子,Lục nguyệt Bình An Vương cảm mạo nãi dữ văn vũ bá quan mưu trạch Thế tử,"(2: 5), (15: 16)","Bình An Vương, Thế",
十七日朝臣謹奏以王世子太傅清郡公鄭𭫨掌兵權又以次子太保萬郡公鄭椿副掌兵權,thập thất nhật triều thần cẩn tấu dĩ Vương thế tử Thái phó Thanh quận công Trịnh Tráng chưởng binh quyền hựu dĩ thứ tử Thái bảo Vạn quận công Trịnh Xuân phó chưởng binh quyền,"(8: 9), (11: 12), (13: 14), (16: 18), (25: 26), (27: 28), (30: 32)","Vương, Thái, Thanh, Trịnh Tráng, Thái, Vạn, Trịnh Xuân",
十八日鄭椿自率本兵象馬銃磾排捶横亭處使奠郡蟠郡等将兵破入内府掠取象馬金銀財物逼,Thập bát nhật Trịnh Xuân tự suất bản binh tượng mã súng đạn bài thuỳ Hoành Đình xứ sử Điện quận Bàn quận đẳng tướng binh phá nhập nội phủ lược thủ tượng mã kim ngân tài vật bức,"(3: 5), (15: 17), (19: 20), (21: 22)","Trịnh Xuân, Hoành Đình, Điện, Bàn",
時掌監岳郡公裴士林見事變挺身扶王於危疑之󰟸,Thời chưởng giám Nhạc quận công Bùi Sĩ Lâm kiến sự biến đĩnh thân phù Vương ư nguy nghi chi khoảnh,"(3: 4), (6: 9), (15: 16)","Nhạc, Bùi Sĩ Lâm, Vương",
是日王世子鄭𭫨與群臣恊謀乃使其弟太保勇郡公鄭楷奉迎聖駕扈從調護,Thị nhật Vương thế tử Trịnh Tráng dữ quần thần hiệp mưu nãi sử kì đệ Thái bảo Dũng quận công Trịnh Khải phụng nghênh Thánh giá hộ tòng điều hộ,"(2: 3), (5: 7), (16: 17), (18: 19), (21: 23), (25: 26)","Vương, Trịnh Tráng, Thái, Dũng, Trịnh Khải, Thánh",
王世子鄭𭫨會文武百官于清池縣仁睦市論行軍務,Vương thế tử Trịnh Tráng hội văn võ bá quan vu Thanh Trì huyện Nhân Mục thị luận hành quân vụ,"(3: 5), (11: 13), (14: 16)","Trịnh Tráng, Thanh Trì, Nhân Mục",
時平安王播遷于清池縣黄梅社舘泊處使裴仕林衛入親弟奉國公鄭杜營誘鄭椿入授以大權,Thời Bình An Vương bá thiên vu Thanh Trì huyện Hoàng Mai xã Quán Bạc xứ sử Bùi Sĩ Lâm vệ nhập thân đệ Phụng quốc công Trịnh Đỗ dinh dụ Trịnh Xuân nhập thụ dĩ đại quyền,"(0: 4), (7: 9), (10: 12), (13: 15), (17: 20), (24: 25), (27: 29), (31: 33)","Thời Bình An Vương, Thanh Trì, Hoàng Mai, Quán Bạc, Bùi Sĩ Lâm, Phụng, Trịnh Đỗ, Trịnh Xuân",
王数以亂臣賊子之罪乃令仕林差人斷椿脚足而死,Vương sổ dĩ loạn thần tặc tử chi tội nãi lệnh Sĩ Lâm sai nhân đoạn Xuân cước túc nhi tử,"(11: 13), (16: 17)","Sĩ Lâm, Xuân",
於是鄭杜使親男碩郡公,Ư thị Trịnh Đỗ sử thân nam Thạc quận công,"(2: 4), (7: 8)","Trịnh Đỗ, Thạc",
缺名赴迎世子鄭𭫨就本營,khuyết danh phó nghênh Thế tử Trịnh Tráng tựu bản doanh,"(4: 5), (6: 8)","Thế, Trịnh Tráng",
